"grid-item href","dates","cat-ev","contenu","contenu 2","buy-see 2","buy-see href 2"
"https://archipel.ville-fouesnant.fr/agenda/chemin-des-metaphores-1/","lundi 10 mars 2025","Marionnettes","Chemin des métaphores #1","Singe Diesel | Juan Perez Escala","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=841"
"https://archipel.ville-fouesnant.fr/agenda/chemin-des-metaphores-2/","mardi 11 mars 2025","Marionnettes","Chemin des métaphores #2","Singe Diesel | Juan Perez Escala","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=841"
"https://archipel.ville-fouesnant.fr/agenda/chemin-des-metaphores-3/","mardi 11 mars 2025","Marionnettes","Chemin des métaphores #3","Singe Diesel | Juan Perez Escala","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=841"
"https://archipel.ville-fouesnant.fr/agenda/chemin-des-metaphores-4/","mardi 11 mars 2025","Marionnettes","Chemin des métaphores #4","Singe Diesel | Juan Perez Escala","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=841"
"https://archipel.ville-fouesnant.fr/agenda/lina_/","jeudi 13 mars 2025","Musique","LINA_","Fado Camões","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=842"
"https://archipel.ville-fouesnant.fr/agenda/atelier-2tonnes-4/","samedi 15 mars 2025","Atelier","Atelier 2tonnes #4","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-astro-3/","mardi 18 mars 2025","Conférence","Café Astro #3","Les trous noirs","",""
"https://archipel.ville-fouesnant.fr/agenda/ludu-du-labrasive/","jeudi 20 mars 2025","Musique","Ludu du + L’abrasive","Concert tricoté","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=843"
"https://archipel.ville-fouesnant.fr/agenda/bebe-signe-4/","vendredi 21 mars 2025","Les animations pour les tout-petits","Bébé-signe #4","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-signe-3/","vendredi 21 mars 2025","","Bébé-signe #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-rire-3/","samedi 22 mars 2025","Atelier","Yoga du rire #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-4/","samedi 22 mars 2025","Conversation","Café Carbone #4","","",""
