title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Cellule 247;-;;2024-10-22T20:00:00+0200;2024-10-22T22:00:00+0200;8165673;https://www.quatreassetplus.fr/Cellule-247.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/9c/980d046d42aeff8fde711110b9fe6c.jpg?1728144020;4ASS;
Influences;-;;2025-01-31T20:00:00+0200;2025-01-31T22:00:00+0200;8165673;https://www.quatreassetplus.fr/Influences-734.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/ab/e9247dbd0b421037324c4e7cb69466.jpg?1728109789;4ASS;
Récital en grève;-;;2025-03-16T20:00:00+0200;2025-03-16T22:00:00+0200;8165673;https://www.quatreassetplus.fr/Recital-en-greve.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/c3/52b32fb4cf9c65584cbcb8ecf50c8c.jpg?1728147679;4ASS;
