title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Une soirée autour de Goliarda Sapienza;avec Nathalie Castagné;Nathalie Castagné est l'autrice de 'Vies, mort et renaissances de Goliarda Sapienza;2024-09-20T19:00:00+0200;2024-09-20T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Des personnages face à l'histoire. Deux romans de résistance et d'engagement;avec Murielle Szac et Bruno Doucey;;2024-09-27T19:00:00+0200;2024-09-27T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Accumuler du béton, tracer des routes;avec Nelo Magalhaes;Dans les décennies d'après-guerre, des milliers de kilomètres de routes et d'autoroutes sortent de terre pour soutenir l'intensification du trafic. Avec quelles conséquences ?;2024-10-05T19:00:00+0200;2024-10-05T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
L'Eden à l'aube;avec Karim Kattan;Karim Kattan est romancier, nous avions été bouleversés par son premier roman Le palais des deux collines, incarnant un retour dans sa Palestine natale;2024-10-11T19:00:00+0200;2024-10-11T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Maison d'édition La Peuplade;avec Julien Delorme;Exploration du catalogue de la maison d'édition québécoise;2024-10-16T19:00:00+0200;2024-10-16T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Danièle Flaumenbaum;Gynécologue et militante féministe;Organisé par l'association Orthophonissimo;2024-10-17T19:00:00+0200;2024-10-17T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Ainsi pleurent nos hommes;avec Dominique Célis;Organisé par l'association Rhizomes;2024-11-13T19:00:00+0200;2024-11-13T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
Nos enfants nous-mêmes;avec Violaine Dutrot;Guide de parentalité féministe;2024-11-15T19:00:00+0200;2024-11-15T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
La machine à détruire (ou pourquoi il faut en finir avec la finance);avec Aline Farès;Anciennce banquière;2024-11-22T19:00:00+0200;2024-11-22T21:00:00+0200;70555056;;https://scontent-cdg4-3.cdninstagram.com/v/t39.30808-6/457804763_18054513922813206_2981272152991320983_n.webp?stp=dst-webp_e35_p640x640_sh0.08&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=GRCjZLJxxRAQ7kNvgHGkUWj&_nc_gid=3d7236b55ab943ac8875b9101c5b97d1&edm=AGFyKLkAAAAA&ccb=7-5&ig_cache_key=MzQ0NzQyMTkwODM2ODYzODU0Ng%3D%3D.3-ccb7-5&oh=00_AYC5vDe-223G5Wz8LW8OEr6qgPgvr3PHJrmCYoQ1PbGARg&oe=66E619EB&_nc_sid=5a0a6d;Rencontre;
