title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
LITTLE BOB BLUES BASTARDS +;CONCERT - POP ROCK FOLK;LITTLE BOB BLUES BASTARDS +, LANDERNEAU, , 9 novembre 2024;2024-11-09T19:00:00+0200;2024-11-09T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/little-bob-blues-bastards-billet/idmanif/600775;https://www.ticketmaster.fr/statics/vignettes/a_600775_g.jpg;14.00 €;
"SVINKELS ""UN DERNIER POUR LA ROUTE""";CONCERT - RAP HIP-HOP SLAM;"SVINKELS ""UN DERNIER POUR LA ROUTE"", LANDERNEAU, , 10 novembre 2024";2024-11-10T19:00:00+0200;2024-11-10T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/svinkels-un-dernier-pour-la-route-billet/idmanif/591787;https://www.ticketmaster.fr/statics/vignettes/a_591787_g.jpg;25.00 €-Réveiller-Le-Punk-Nikus-Pocus;
ALIOCHA SCHNEIDER;CONCERT - VARIETE ET CHANSON FRANCAISE;ALIOCHA SCHNEIDER, LANDERNEAU, , 13 novembre 2024;2024-11-13T19:00:00+0200;2024-11-13T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/aliocha-schneider-billet/idmanif/580195;https://www.ticketmaster.fr/statics/vignettes/n_aliocha-schneider_g.jpg;25.00 €;
ENSEMBLE MATHEUS;CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE;ENSEMBLE MATHEUS, LANDERNEAU, , 7 décembre 2024;2024-12-07T19:00:00+0200;2024-12-07T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/ensemble-matheus-billet/idmanif/593288;https://www.ticketmaster.fr/statics/vignettes/a_593288_g.jpg;18.00 €;
THIBAULT CAUVIN;CONCERT - POP ROCK FOLK;THIBAULT CAUVIN, LANDERNEAU, , 23 février 2025;2025-02-23T19:00:00+0200;2025-02-23T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/thibault-cauvin-billet/idmanif/593291;https://www.ticketmaster.fr/statics/vignettes/a_593291_g.jpg;18.00 €;
LEILA MARTIAL JUBILA;CONCERT - JAZZ;LEILA MARTIAL JUBILA, LANDERNEAU, , 15 mars 2025;2025-03-15T19:00:00+0200;2025-03-15T21:00:00+0200;60779808;https://www.ticketmaster.fr/fr/manifestation/leila-martial-jubila-billet/idmanif/593286;https://www.ticketmaster.fr/statics/vignettes/a_593286_g.jpg;15.00 €;
