"card__link href","a42-ac-replace-img src","card__date_day","card__date_month","card__category","card__title","card__description"
"https://www.lathena.bzh/agenda/emile-londonien-concert/","https://www.lathena.bzh/wp-content/uploads/2024/09/musique_emile-londonien-385x0-c-default.jpg","23","février","Blues","Emile Londonien | Concert","Ce jeune groupe strasbourgeois issus du collectif Omezis reconnecte le jazz avec l’esprit du dance-floor."
"https://www.lathena.bzh/agenda/laura-calu-humour/","https://www.lathena.bzh/wp-content/uploads/2024/09/Humour_Laura-Calu-385x0-c-default.jpg","28","février","Humour","Laura Calu “Senk” | One-woman-show","Selon le pouce levé ou baissé par la plèbe, la mise à mort n’est jamais très loin. Laura entre dans l’arène pour se battre contre les…"
"https://www.lathena.bzh/agenda/parapapel-spectacle-enfant/","https://www.lathena.bzh/wp-content/uploads/2024/09/JeuneP_parapapel-385x0-c-default.jpg","02","mars","Jeune public","Parapapel | Spectacle enfant","Dans un décor bleu, comme la mer, comme le ciel, deux danseurs se lancent dans un joyeux ballet avec un rouleau de papier : plier, déplier,…"
"https://www.lathena.bzh/agenda/an-albatroz-spectacle-enfant/","","11","mars","Jeune public","An Albatroz – Lukas Nedelec & Youen Bodros | Spectacle scolaire","Séance scolaire. Spectacle de contes à tiroirs. An Albatroz est un récit d’aventure filé à travers l’histoire romanesque de Jean-Marie Le Bris. Breton et capitaine de…"
"https://www.lathena.bzh/agenda/fest-noz-concert/","https://www.lathena.bzh/wp-content/uploads/2024/09/musique_festnoz-1-385x0-c-default.jpg","29","mars","Musique","Fest-Noz | Tekmao, Talec Noguet Quartet et Seim | Concert","Fest-Noz avec 3 groupes d'artistes : tekmao, talec noguet quartet et seim."
"https://www.lathena.bzh/agenda/simon-cojean-humour/","https://www.lathena.bzh/wp-content/uploads/2024/09/humour_simon-cojeant-385x0-c-default.jpg","06","avril","Humour","Simon Cojean “La danse bretonne n’existe pas” | Humour","D'où vient la danse de Bretagne . Qu'a-t-elle de différent ou de commune avec les autres danse à travers le monde ? Qu'est-ce qu'on entend sous…"
"https://www.lathena.bzh/agenda/stagan-cercle-celtique-danse/","https://www.lathena.bzh/wp-content/uploads/2024/09/Danse_Stagan-385x0-c-default.jpg","06","avril","Danse","Stagañ – Cercle celtique Korriged Is de Douarnenez | Danse","Stagañ fait surgir une vision vivante et contemporaine où s’enlacent mémoire et imaginaire. Prendre appui sur la danse bretonne, qui constitue le socle de Korriged Is,…"
"https://www.lathena.bzh/agenda/pirate-patate-spectacle-enfant/","https://www.lathena.bzh/wp-content/uploads/2024/09/JeuneP_pirate-patate-385x0-c-default.jpg","12","avril","Jeune public","Pirate Patate | spectacle enfant","Pirate Patate est un spectacle enfant multimédia croisant le conte, la chanson, les musiques actuelles, le dessin, l’animation, la vidéo, le théâtre et le jeu d’ombres…"
"https://www.lathena.bzh/agenda/sylvain-giro-concert/","https://www.lathena.bzh/wp-content/uploads/2024/09/musique_Sylvain-Giro-385x0-c-default.jpg","25","avril","Musique","Sylvain GirO et Le chant de la griffe | Concert","Un chant polyphonique sur la vie de Louise Michel. Institutrice, poétesse, romancière, féministe et révolutionnaire de la Commune de Paris en 1871, elle a connu un…"
"https://www.lathena.bzh/agenda/xy-danse/","https://www.lathena.bzh/wp-content/uploads/2024/09/Danse_XY-385x0-c-default.jpg","16","mai","Danse","XY | Danse et musique live","Spectacle hybride, conçu par un quatuor de danseurs et de deux musiciens, qui aborde la danse dans sa pluralité."
