title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Quel héritage des Lumières en Europe ?;Céline Spector;;2025-03-24T19:00:00+0200;2025-03-24T21:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/conference-celine-spector-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03162821/25-0324-celine-spector-01_C_daniel-fouray-680x680.jpg?date=98882;Conférence;Théâtre de Cornouaille - L'Atelier
Le Carnaval de Venise;Campra / Clédat & Petitpierre / Camille Delaforge;;2025-03-27T20:00:00+0200;2025-03-27T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/le-carnaval-de-venise-campra-cledat-petitpierre-camille-delaforge-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04123924/25-0327-carnaval-venise-04-scene-de-carnaval-ou-le-menuet_C_grand-palais-rmn-musee-du-louvre-franck-raux-680x680.jpg?date=200126;Opéra;Théâtre de Cornouaille
Le Carnaval de Venise;Campra / Clédat & Petitpierre / Camille Delaforge;;2025-03-28T20:00:00+0200;2025-03-28T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/le-carnaval-de-venise-campra-cledat-petitpierre-camille-delaforge-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04123924/25-0327-carnaval-venise-04-scene-de-carnaval-ou-le-menuet_C_grand-palais-rmn-musee-du-louvre-franck-raux-680x680.jpg?date=200126;Opéra;Théâtre de Cornouaille
La Cerisaie;Anton Tchekhov / Tg Stan;;2025-04-01T20:00:00+0200;2025-04-01T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/la-cerisaie-anton-tchekhov-tg-stan-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04124057/25-0401-cerisaie-02_C_koen-broos-680x680.jpg?date=143684;Théâtre;Théâtre de Cornouaille
La Cerisaie;Anton Tchekhov / Tg Stan;;2025-04-03T20:00:00+0200;2025-04-03T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/la-cerisaie-anton-tchekhov-tg-stan-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04124057/25-0401-cerisaie-02_C_koen-broos-680x680.jpg?date=143684;Théâtre;Théâtre de Cornouaille
Road Movies;Jeanne Bleuse – Julian Boutin / Cie La Vagabonde;;2025-04-24T20:00:00+0200;2025-04-24T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/road-movies-jeanne-bleuse-julian-boutin-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140647/25-0424-road-movies-02_C_cie-la-vagabonde-680x680.jpeg?date=166536;Musique;Théâtre de Cornouaille - L'Atelier
Road Movies;Jeanne Bleuse – Julian Boutin / Cie La Vagabonde;;2025-04-25T20:00:00+0200;2025-04-25T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/road-movies-jeanne-bleuse-julian-boutin-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140647/25-0424-road-movies-02_C_cie-la-vagabonde-680x680.jpeg?date=166536;Musique;Théâtre de Cornouaille - L'Atelier
Femme Capital;Stéphane Legrand / Sylvain Cartigny / Mathieu Bauer;;2025-04-24T20:00:00+0200;2025-04-24T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/femme-capital-stephane-legrand-sylvain-cartigny-mathieu-bauer-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140507/25-0424-femme-capital%E2%94%AC05_C_jean-louis-fernandez-680x680.jpg?date=159614;Théâtre/Musique;Théâtre de Cornouaille
Femme Capital;Stéphane Legrand / Sylvain Cartigny / Mathieu Bauer;;2025-04-25T20:00:00+0200;2025-04-25T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/femme-capital-stephane-legrand-sylvain-cartigny-mathieu-bauer-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140507/25-0424-femme-capital%E2%94%AC05_C_jean-louis-fernandez-680x680.jpg?date=159614;Théâtre/Musique;Théâtre de Cornouaille
Contretemps;Bruno Allary / Patrick Boucheron / Isabelle Courroy;;2025-04-29T20:00:00+0200;2025-04-29T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/contretemps-bruno-allary-patrick-boucheron-isabelle-courroy-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140807/25-0429-contretemps-04_C_Raynaud-de-Lage--680x680.jpg?date=156004;Musique/Poésie;Théâtre de Cornouaille
