img;date;title;desc
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i1f1ae2a27525150d/version/1716391271/bingo-novela.png;Mer.28/08 et Jeu.29/08;Bingo Novela;Le terrible investisseur privé Sauciflex a décidé de racheter le Centre de Réadaptation Sociale qui a vu grandir les Sœurs Goudron ! Ni une, ni deux, elles décident de reformer la chorale, dirigée par Hélène Morisse, et organise un loto spectacle caritatif. Grâce à notre soutien, à notre générosité, et surtout à notre argent, les Sœurs Goudron comptent bien sauver le CRS « Le Primevère ».
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/id808554512959890/version/1716393611/fleurir-les-ab%C3%AEmes.png;Mer.28/08 et Jeu.29/08;Fleurir les abîmes;Fleurir les abîmes est né de la furieuse envie de planter un arbre de douceur au cœur du monde. Là où tout est voué à devenir sable, même l’eau, même le temps, se trouvent une femme et un arbre. Il est sa colonne vertébrale, son confident, celui qui l’inspire et l’apaise. Elle est son rire, ses tremblements, celle qui joue et attend. Poèmes et espoirs qui naissent de la vie même.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/iafcb94a51e7e9f1d/version/1716383649/sama-le%C3%AF.png;Mer.28/08 et Jeu.29/08;Sama Leï;Écouter le désir. Le laisser s’installer en nous, entre nous et avec ceux qui nous entourent. Se sentir guidés par les lieux, les événements, les rencontres, sans a priori ni anticipation. Nos expériences et notre répertoire en bagages, goûter à cette fragilité de l’instant présent. Et jouer, chanter, entrer dans la vibration de nos instruments. Ouvrir les cœurs, éliminer le superflu, se relier les uns aux autres, se surprendre.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/id7c7f65a0b1f06cd/version/1716449900/la-montagne.png;Mer.28/08 et Jeu.29/08;La montagne;"Der menschenfresser Berg - Oder die Besteigung, die Bjørg Schaffers Leben kostete - ou La Montagne (titre provisoire) raconte une quête : l’adaptation par une compagnie de théâtre de rue d’un film allemand des années 30 sur une expédition en haute montagne.
Avec ce spectacle, la compagnie Les Vrais Majors nous emmène dans les coulisses d’une création théâtrale, oscillant entre fiction et réalité, de la scène épique d’un alpiniste au sommet d’une montagne à la réalité crue du comédien qui ..."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/ie8e44bdf6c05d39b/version/1716449900/bloom.png;Mer.28/08 et Jeu.29/08;Bloom;Pour sa nouvelle création, la danseuse et chorégraphe brestoise a imaginé cette énigmatique créature futuriste, mi-alien androgyne, mi-messager à la nature ambiguë, tombé dans le désert terrestre, comme une autre version du Petit Prince, et cherchant à s'adapter par mimétisme. En interaction avec une installation sonore mixée en direct par la DJ Marion Faure, la performance se joue sur des échasses urbaines qui obligent Jennifer Dubreuil-Houthemann à rechercher sans cesse l’équilibre.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/ibd8a0b64a4ea7538/version/1716811624/georgia.png;Mer.28/08 et Jeu.29/08;Georgia;"Nous sommes aux États-Unis en 1961. Un détective privé doit reconstituer le passé d’une jeune inconnue avec de très maigres indices : une photo, une carte manuscrite et un recueil de poèmes. De cette enquête, il n’en sortira pas indemne, et nous non plus…

Georgia est une adaptation de Sylvia, premier roman noir féministe, à la fois classique et contemporain, écrit par Howard Fast."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/iedf1e393f04dd381/version/1716469358/kamch%C3%A0tka.png;ven.30/08 et sam.31/08;Kamchàtka;Huit personnages perdus à Clohars-Carnoët se déplacent ensemble, chacun avec sa valise. Que font-ils ici chez nous ? Que veulent-ils ? D’où viennent-ils ? Sont-ils voyageurs, migrants ? Peu importe, l’important est qu’ils soient là, avec nous. Ingénus et curieux, ils ne connaissent pas nos normes, nos règles, notre mode de vie mais ils sont ouverts au monde qui les entoure. Leur jeu est si subtil qu’il se confond avec la réalité.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/if96cfb41bb233d3e/version/1716822025/rouge-merveille.jpg;ven.30/08 et sam.31/08;Rouge Merveille;"La compagnie Rhizome insiste et creuse une nouvelle fois ce qui se trame dans la gravité. Rouge Merveille est la poursuite infinie de cette situation, conjointement très simple et très riche : être suspendue à bout de bras au-dessus du vide.

Rouge Merveille c’est donc une femme, Mélusine Lavinet-Drouet, qui dans son suspend laisse poindre sa singularité, et laisse apparaître ce qui la traverse."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i90fbd20c0047df8f/version/1716757324/fragile.png;ven.30/08 et sam.31/08;Fragile;"Au niveau planétaire, nous avons traversé une crise sanitaire sans précédent qui nous a forcés à vivre loin les uns des autres. Il apparaît que nous sommes des êtres grégaires qui avons besoin de contact et de chaleur avec nos pairs, de leurs regards, de leurs sourires et de leurs pleurs.
Fragile redonne la parole aux émotions, affirmant haut et fort que l’humain est beau quand il est fragile."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/ia71f3cea57bd0c61/version/1716757635/masacrade.png;ven.30/08 et sam.31/08;Masacrade;Comment trouver un sens à la vie en s’entraînant à mourir ? Ou encore, comment trouver un sens à la vie en s’entraînant à mourir avant de mourir ?  Choisir sa mort n’est pas chose aisée. Une chose aisée serait de mourir à la suite d'un décès. Guidés par une voix off, trois protagonistes questionnent celle sans qui le trépas n’aurait pas de substance, celle sans qui le tombeau ne serait résidence qu’au néant. Car sans elle, il n’y a point d’existence.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i0e4457bd6329d54f/version/1716822037/radiovolca.jpg;ven.30/08 et sam.31/08;Radiovolca;Ici, chaque geste et chaque objet sont garants de l'équilibre d'un univers suspendu par le temps. Porté et animé par la douce mélopée d'une radio, Ernest, personnage névrosé et sourcilleux, nous entraîne dans son quotidien. Alors que tout semble parfaitement chronométré, l'ordinaire va être bouleversé par cette radio qui jusqu'à présent maintenait le rythme, entraînant Ernest dans une course frénétique.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/iac778feb2fba3cb7/version/1716758222/le-bal-des-oiseaux.png;ven.30/08 et sam.31/08;Le Bal des Oiseaux;À 20h32, la Costumerie ouvre ses portes et nous offre l’opportunité de nous débarrasser de nos vêtements du quotidien pour nous parer de costumes à l’imaginaire exotique créés par Des Habits et Vous. Une fois dans l’antre d’une jungle singulière, accueillante et chaleureuse, les rythmes chauds et endiablés de la musique Exotica jouée par Tiki Paradise nous saisissent et nous invitent à entrer dans la danse jusqu’au bout de la nuit !
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i56a646ee8132db94/version/1716758295/courbatures.png;ven.30/08 et sam.31/08;Courbatures;Rêver, répéter, répéter encore, faire des pompes et suer jusqu’à faire ce dont on a rêvé. Pendant des doubles saltos arrière, se demander pourquoi on ne sait pas faire des triples saltos arrière. Rester allongé des mois après une chute interminable et un gros nœud dans la tête. Se relever, se réparer, répéter à nouveau, refaire des pompes, se réveiller un jour avec une ride de plus et curieusement l’envie de faire autre chose.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/if42c0584b60a7704/version/1716393611/un-verano-naranja.png;Mer.28/08 et Jeu.29/08;Un Verano Naranja;Sable, mer, mouettes et crème solaire. Beaucoup de crème solaire... Tuga, le populaire mime de Valparaíso au Chili, vous invite à découvrir la fraîcheur d'un été orange aux odeurs d'embrun du Pacifique. Grand, dégingandé, coloré, Tuga est prêt à tout pour profiter au maximum d'un après-midi à la plage, quitte à importuner ses voisins de serviette. On vous en dirait bien plus, mais on n'a pas idée de ce qu'il va bien pouvoir encore inventer.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i181237ed9b1fbe8e/version/1716824660/la-ronde.jpg;Mer.28/08 et Jeu.29/08;La Ronde;"Lou redécouvre de vieux objets à souvenirs enfouis dans des cartons. Elle plonge dans le passé et nous la suivons dans les abysses du temps. Les oublis refont surface et incarnent sa mémoire : 2002, l’extrême droite au second tour, les manifs, mais aussi Noir Désir, Loft Story, la bande du lycée. Et Patty, l’ombre d’une élève dont elle ne parvient pas à restituer l’histoire, ni leur relation. 
Suivons Lou dans son enquête..."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i2b7f0fa4efc7a149/version/1716394916/trop-pr%C3%A8s-du-mur.png;Mer.28/08 et Jeu.29/08;Trop près du mur;À l’origine du spectacle, il y a Typhus qui parle à l’acteur de son désir d’enfant. Le clown voudrait un compagnon pour partager sa folitude, un être à chérir et protéger du mieux qu’il peut. Après bien des questionnements, son créateur se résout à exaucer son vœu… à sa manière ! Typhus jubile mais le temps presse car bientôt, l’acteur qui vit en lui refera surface pour le faire taire à nouveau. Mais dans ce jeu de poupées russes, qui contrôle qui ? Qui élève qui ?
