title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name;book_link
L’événement;Marianne Basler | Annie Ernaux;;2025-04-01T20:00:00+0200;2025-04-01T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/levenement/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=848
À voix haute #3;Imaginer la Pluie;;2025-04-02T20:00:00+0200;2025-04-02T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-3/;;Lecture;;
Ensachage de graines;Vie de la Grainothèque;;2025-04-04T20:00:00+0200;2025-04-04T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-7/;;Participation;;
Rhapsody in blue / Solo Echo / Shoot me;Centro Coreografico Nazionale Aterballetto;;2025-04-05T20:00:00+0200;2025-04-05T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/rhapsody-in-blue-solo-echo-shoot-me/;;Danse;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=849
Aprem’ jeux #3;;;2025-04-18T20:00:00+0200;2025-04-18T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-3/;;Jeu;;
Imaginer la Pluie #1;Cie Tro-heol | Martial Anton et Daniel Calvo Funes | Santiago Pajares;;2025-04-24T20:00:00+0200;2025-04-24T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/imaginer-la-pluie-1/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=850
Imaginer la Pluie #2;Cie Tro-heol | Martial Anton et Daniel Calvo Funes | Santiago Pajares;;2025-04-24T20:00:00+0200;2025-04-24T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/imaginer-la-pluie-2/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=850
Un petit déjeuner avec Martial Anton et Daniel Calvo Funes;autour du spectacle Imaginer la Pluie;;2025-04-25T20:00:00+0200;2025-04-25T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-martial-anton-et-daniel-calvo-funes/;;Échange;;
Vian par Debout sur le Zinc;;;2025-04-29T20:00:00+0200;2025-04-29T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/vian-par-debout-sur-le-zinc/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=851
Ensemble Matheus;Bach and Beatles;;2025-05-11T20:00:00+0200;2025-05-11T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensemble-matheus-6/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=852
Mikado, petit récit d’effondrements;Collectif Sous le Manteau | Florent Bergal;;2025-05-17T20:00:00+0200;2025-05-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/mikado-petit-recit-deffondrements/;;Cirque;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=853
